,donor_id,donor_name,specimen_id,specimen_name,rna_well,rna_integrity_number,structure_id,structure_acronym,structure_name,rnaseq_profile_id,rnaseq_total_reads,rnaseq_percent_reads_aligned_to_mrna,rnaseq_percent_reads_aligned_to_ncrna,rnaseq_percent_reads_aligned_to_genome_only,gene_level_fpkm_file_link,anonymized_bam_file_link,anonymized_bam_index_file_link,bigwig_file_link,UID,Treatment
2,309335438,H14.09.001,309357596,H14.09.001.PCx.01,320630836,7.1,10208,PCx,parietal neocortex,496100290,34426215,29.1,6.59,52.1,/api/v2/well_known_file_download/496555481,/api/v2/well_known_file_download/500941225,/api/v2/well_known_file_download/500941223,/api/v2/well_known_file_download/500941630,001,3.0
12,309335441,H14.09.004,309357624,H14.09.004.PCx.01,320630864,5.4,10208,PCx,parietal neocortex,496100292,32697297,26.0,7.12,54.7,/api/v2/well_known_file_download/496552160,/api/v2/well_known_file_download/500939847,/api/v2/well_known_file_download/500939845,/api/v2/well_known_file_download/500941519,004,2.0
17,309335443,H14.09.006,309357641,H14.09.006.PCx.01,320630981,8.0,10208,PCx,parietal neocortex,496100305,37834187,36.8,7.76,42.5,/api/v2/well_known_file_download/496133249,/api/v2/well_known_file_download/501024528,/api/v2/well_known_file_download/501024526,/api/v2/well_known_file_download/501056857,006,2.0
42,309335451,H14.09.014,309357711,H14.09.014.PCx.01,321912279,6.1,10208,PCx,parietal neocortex,496100347,30665896,24.1,5.09,56.6,/api/v2/well_known_file_download/496156886,/api/v2/well_known_file_download/500943193,/api/v2/well_known_file_download/500943191,/api/v2/well_known_file_download/500943760,014,2.0
46,309335452,H14.09.015,309357720,H14.09.015.PCx.01,321912194,8.9,10208,PCx,parietal neocortex,496100335,32769407,33.9,5.9,47.9,/api/v2/well_known_file_download/496139185,/api/v2/well_known_file_download/501022730,/api/v2/well_known_file_download/501022727,/api/v2/well_known_file_download/501086691,015,3.0
49,309335453,H14.09.016,309357729,H14.09.016.PCx.01,321912200,6.6,10208,PCx,parietal neocortex,496100342,33888982,27.3,6.37,53.7,/api/v2/well_known_file_download/496129003,/api/v2/well_known_file_download/500991486,/api/v2/well_known_file_download/500991484,/api/v2/well_known_file_download/500994753,016,2.0
53,309335454,H14.09.017,309357738,H14.09.017.PCx.01,321912208,7.6,10208,PCx,parietal neocortex,496100320,29998399,33.0,5.69,49.0,/api/v2/well_known_file_download/496623286,/api/v2/well_known_file_download/501023790,/api/v2/well_known_file_download/501023787,/api/v2/well_known_file_download/501080955,017,3.0
61,309335456,H14.09.019,309357756,H14.09.019.PCx.01,395319179,7.1,10208,PCx,parietal neocortex,496100369,29600663,28.3,5.29,48.1,/api/v2/well_known_file_download/496200859,/api/v2/well_known_file_download/500954064,/api/v2/well_known_file_download/500954062,/api/v2/well_known_file_download/500987671,019,3.0
65,309335457,H14.09.020,309357765,H14.09.020.PCx.01,395319187,6.3,10208,PCx,parietal neocortex,496100377,31703346,26.6,5.68,51.1,/api/v2/well_known_file_download/496197671,/api/v2/well_known_file_download/500956108,/api/v2/well_known_file_download/500956106,/api/v2/well_known_file_download/500960681,020,2.0
75,309335460,H14.09.023,309357786,H14.09.023.PCx.01,395319207,6.9,10208,PCx,parietal neocortex,496100382,33705688,25.2,5.05,53.4,/api/v2/well_known_file_download/496202180,/api/v2/well_known_file_download/500964584,/api/v2/well_known_file_download/500964582,/api/v2/well_known_file_download/500979068,023,3.0
79,309335461,H14.09.024,309357795,H14.09.024.PCx.01,395319215,7.4,10208,PCx,parietal neocortex,496100373,32292548,28.1,5.33,49.4,/api/v2/well_known_file_download/496369762,/api/v2/well_known_file_download/500960106,/api/v2/well_known_file_download/500960104,/api/v2/well_known_file_download/500961575,024,2.0
90,309335465,H14.09.028,309357825,H14.09.028.PCx.01,395325158,7.1,10208,PCx,parietal neocortex,496100359,29832219,26.4,4.75,52.0,/api/v2/well_known_file_download/496165371,/api/v2/well_known_file_download/500943962,/api/v2/well_known_file_download/500943960,/api/v2/well_known_file_download/500944136,028,2.0
96,309335467,H14.09.030,309357840,H14.09.030.PCx.01,395325170,6.3,10208,PCx,parietal neocortex,496100386,30311707,23.6,5.61,52.0,/api/v2/well_known_file_download/496201874,/api/v2/well_known_file_download/500975346,/api/v2/well_known_file_download/500975344,/api/v2/well_known_file_download/500976455,030,2.0
104,309335469,H14.09.032,309357858,H14.09.032.PCx.01,441278410,7.6,10208,PCx,parietal neocortex,496100397,37482637,32.7,6.55,46.7,/api/v2/well_known_file_download/496204602,/api/v2/well_known_file_download/501004383,/api/v2/well_known_file_download/501004379,/api/v2/well_known_file_download/501056430,032,2.0
116,309335474,H14.09.037,309357894,H14.09.037.PCx.01,441278434,6.3,10208,PCx,parietal neocortex,496100415,35470005,26.6,6.75,53.5,/api/v2/well_known_file_download/496840600,/api/v2/well_known_file_download/501093508,/api/v2/well_known_file_download/501093506,/api/v2/well_known_file_download/501095306,037,3.0
120,309335475,H14.09.038,309357903,H14.09.038.PCx.01,441278443,5.5,10208,PCx,parietal neocortex,496100399,34326001,25.5,6.57,55.0,/api/v2/well_known_file_download/496204255,/api/v2/well_known_file_download/501011595,/api/v2/well_known_file_download/501011593,/api/v2/well_known_file_download/501081387,038,2.0
123,309335476,H14.09.039,309357909,H14.09.039.PCx.01,441298604,8.1,10208,PCx,parietal neocortex,496100408,35385574,33.4,6.58,46.2,/api/v2/well_known_file_download/496203078,/api/v2/well_known_file_download/501091748,/api/v2/well_known_file_download/501091745,/api/v2/well_known_file_download/501093360,039,3.0
139,309335482,H14.09.045,309357957,H14.09.045.PCx.01,472517775,7.1,10208,PCx,parietal neocortex,496100423,42294739,29.3,6.29,51.8,/api/v2/well_known_file_download/496236630,/api/v2/well_known_file_download/501139498,/api/v2/well_known_file_download/501139496,/api/v2/well_known_file_download/501140263,045,3.0
