,donor_id,donor_name,specimen_id,specimen_name,rna_well,rna_integrity_number,structure_id,structure_acronym,structure_name,rnaseq_profile_id,rnaseq_total_reads,rnaseq_percent_reads_aligned_to_mrna,rnaseq_percent_reads_aligned_to_ncrna,rnaseq_percent_reads_aligned_to_genome_only,gene_level_fpkm_file_link,anonymized_bam_file_link,anonymized_bam_index_file_link,bigwig_file_link,UID,Treatment
3,309335438,H14.09.001,309357599,H14.09.001.TCx.01,320630838,7.3,10235,TCx,temporal neocortex,496100279,31714711,31.4,6.97,48.7,/api/v2/well_known_file_download/496106814,/api/v2/well_known_file_download/500936841,/api/v2/well_known_file_download/500936839,/api/v2/well_known_file_download/500941005,001,3.0
9,309335440,H14.09.003,309357618,H14.09.003.TCx.03,320630854,6.7,10235,TCx,temporal neocortex,496100287,31626865,26.2,6.72,53.7,/api/v2/well_known_file_download/496555231,/api/v2/well_known_file_download/500934399,/api/v2/well_known_file_download/500934397,/api/v2/well_known_file_download/500937875,003,3.0
13,309335441,H14.09.004,309357627,H14.09.004.TCx.01,320630862,6.1,10235,TCx,temporal neocortex,496100291,31750869,26.8,7.02,53.9,/api/v2/well_known_file_download/496551931,/api/v2/well_known_file_download/500939060,/api/v2/well_known_file_download/500939058,/api/v2/well_known_file_download/500941313,004,2.0
18,309335443,H14.09.006,309357645,H14.09.006.TCx.03,320630979,7.7,10235,TCx,temporal neocortex,496100310,37382730,32.2,7.15,47.4,/api/v2/well_known_file_download/496134752,/api/v2/well_known_file_download/501133166,/api/v2/well_known_file_download/501133164,/api/v2/well_known_file_download/501135026,006,2.0
34,309335448,H14.09.011,309357691,H14.09.011.TCx.03,321912261,4.2,10235,TCx,temporal neocortex,496100315,32673850,26.9,6.34,54.1,/api/v2/well_known_file_download/496371315,/api/v2/well_known_file_download/501024106,/api/v2/well_known_file_download/501024100,/api/v2/well_known_file_download/501071541,011,3.0
43,309335451,H14.09.014,309357715,H14.09.014.TCx.03,321912281,6.7,10235,TCx,temporal neocortex,496100336,33212642,26.4,4.9,55.5,/api/v2/well_known_file_download/496129034,/api/v2/well_known_file_download/500991138,/api/v2/well_known_file_download/500991136,/api/v2/well_known_file_download/500991439,014,2.0
47,309335452,H14.09.015,309357723,H14.09.015.TCx.01,321912196,8.5,10235,TCx,temporal neocortex,496100326,31202185,34.3,6.17,46.8,/api/v2/well_known_file_download/496108895,/api/v2/well_known_file_download/501023531,/api/v2/well_known_file_download/501023529,/api/v2/well_known_file_download/501056781,015,3.0
50,309335453,H14.09.016,309357732,H14.09.016.TCx.01,321912202,6.8,10235,TCx,temporal neocortex,496100341,33617620,27.2,5.81,52.8,/api/v2/well_known_file_download/496130660,/api/v2/well_known_file_download/500991389,/api/v2/well_known_file_download/500991387,/api/v2/well_known_file_download/500993264,016,2.0
54,309335454,H14.09.017,309357741,H14.09.017.TCx.01,321912210,7.5,10235,TCx,temporal neocortex,496100316,33631117,33.5,4.85,47.6,/api/v2/well_known_file_download/496128345,/api/v2/well_known_file_download/501022467,/api/v2/well_known_file_download/501022465,/api/v2/well_known_file_download/501071536,017,3.0
62,309335456,H14.09.019,309357759,H14.09.019.TCx.01,395319181,6.1,10235,TCx,temporal neocortex,496100363,30303267,22.5,5.3,54.6,/api/v2/well_known_file_download/496199324,/api/v2/well_known_file_download/500945387,/api/v2/well_known_file_download/500945385,/api/v2/well_known_file_download/500946383,019,3.0
66,309335457,H14.09.020,309357768,H14.09.020.TCx.01,395319189,7.2,10235,TCx,temporal neocortex,496100357,30186544,29.8,5.45,48.4,/api/v2/well_known_file_download/496634394,/api/v2/well_known_file_download/500943352,/api/v2/well_known_file_download/500943350,/api/v2/well_known_file_download/500943730,020,2.0
76,309335460,H14.09.023,309357789,H14.09.023.TCx.01,395319209,6.6,10235,TCx,temporal neocortex,496100371,30559555,25.6,5.14,51.6,/api/v2/well_known_file_download/496197623,/api/v2/well_known_file_download/500955367,/api/v2/well_known_file_download/500955365,/api/v2/well_known_file_download/500958155,023,3.0
80,309335461,H14.09.024,309357798,H14.09.024.TCx.01,395319217,7.6,10235,TCx,temporal neocortex,496100361,29944293,27.6,5.35,50.2,/api/v2/well_known_file_download/496165574,/api/v2/well_known_file_download/500943945,/api/v2/well_known_file_download/500943943,/api/v2/well_known_file_download/500944142,024,2.0
91,309335465,H14.09.028,309357829,H14.09.028.TCx.03,395325160,7.2,10235,TCx,temporal neocortex,496100366,32204564,28.0,4.93,49.9,/api/v2/well_known_file_download/496200180,/api/v2/well_known_file_download/500955247,/api/v2/well_known_file_download/500955245,/api/v2/well_known_file_download/501081488,028,2.0
97,309335467,H14.09.030,309357843,H14.09.030.TCx.01,395325172,6.0,10235,TCx,temporal neocortex,488395315,32036021,23.4,5.53,53.4,/api/v2/well_known_file_download/496356348,/api/v2/well_known_file_download/500912233,/api/v2/well_known_file_download/500912231,/api/v2/well_known_file_download/500926172,030,2.0
105,309335469,H14.09.032,309357861,H14.09.032.TCx.01,441278412,8.6,10235,TCx,temporal neocortex,496100395,34337704,33.7,6.3,46.3,/api/v2/well_known_file_download/496199842,/api/v2/well_known_file_download/500988571,/api/v2/well_known_file_download/500988569,/api/v2/well_known_file_download/500991045,032,2.0
